NameTabelle;Revision;Kommentar
Schildintern_AbiturInfos;0;Initialisierung
Schildintern_Datenart;0;Initialisierung
Schildintern_DQR_Niveaus;0;Initialisierung
Schildintern_FaecherSortierung;0;Initialisierung
Schildintern_FilterFehlendeEintraege;0;Initialisierung
Schildintern_FilterFehlendeEintraegeSchild3;0;Initialisierung
Schildintern_FilterFeldListe;0;Initialisierung
Schildintern_HSchStatus;0;Initialisierung
Schildintern_KAoA_Anschlussoption;0;Initialisierung
Schildintern_KAoA_Berufsfeld;0;Initialisierung
Schildintern_KAoA_Kategorie;0;Initialisierung
Schildintern_KAoA_Merkmal;0;Initialisierung
Schildintern_KAoA_SBO_Ebene4;0;Initialisierung
Schildintern_KAoA_Zusatzmerkmal;0;Initialisierung
Schildintern_Laender;0;Initialisierung
Schildintern_PrfSemAbschl;0;Initialisierung
Schildintern_PruefOrd_Optionen;0;Initialisierung
Schildintern_PruefungsOrdnung;0;Initialisierung
Schildintern_SchuelerImpExp;0;Initialisierung
Schildintern_SpezialFilterFelder;0;Initialisierung
Schildintern_TextExport;0;Initialisierung
Schildintern_UnicodeUmwandlung;0;Initialisierung
Schildintern_VerfImportFelder;0;Initialisierung
Schildintern_VerfImportTabellen;0;Initialisierung
Schildintern_Zusatzinfos;0;Initialisierung
SchulleitungFunktion;0;Initialisierung
Schulver_DBS;0;Initialisierung
Schulver_Schultraeger;0;Initialisierung
Schulver_WeitereSF;0;Initialisierung
Statkue_Abgangsart;0;Initialisierung
Statkue_AndereGrundschulen;0;Initialisierung
Statkue_Bilingual;0;Initialisierung
Statkue_PLZOrt;0;Initialisierung
Statkue_Reformpaedagogik;0;Initialisierung
Statkue_SchuelerErsteSchulformSekI;0;Initialisierung
Statkue_SchuelerKindergartenbesuch;0;Initialisierung
Statkue_SchuelerUebergangsempfehlung5Jg;0;Initialisierung
Statkue_SVWS_SprachpruefungNiveaus;0;Initialisierung
