Name;Revision;Veraltet;Migration;ImpExp;JavaKlasse;JavaPackage;JavaKommentar
AllgAdrAnsprechpartner;0;-1;1;1;DTOAnsprechpartnerAllgemeineAdresse;schild.katalog;Ansprechpartner-Daten die einem Betrieb/Adresse in K_AllgAdresse zugeordnet werden können
AllgemeineMerkmaleKatalog;0;-1;0;0;DTOAllgemeineMerkmaleKatalog;schild.schule;Eine Tabelle mit den allgemeinen Merkmalen bei Schulen und Schülern
AllgemeineMerkmaleKatalog_Keys;0;-1;0;0;DTOAllgemeineMerkmaleKatalogKeys;schild.schule;Gültige Schlüsselwerte (ASD-Kürzel) für Fremdschlüssel zu den allgemeinen Merkmalen bei Schulen und Schülern
AllgemeineMerkmaleKatalog_Schulformen;0;-1;0;0;DTOAllgemeineMerkmaleKatalogSchulformen;schild.schule;Tabelle mit der Zuordnungen der erlaubten Schulformen bei den allgemeinen Merkmalen bei Schulen und Schülern
Benutzer;0;-1;0;1;DTOBenutzer;schild.benutzer;Die Benutzer, welchen sich am Server anmelden können (verweist auf allgemeine Benutzer, Lehrer bzw. Personal, Schüler und Erzieher). 
BenutzerAllgemein;0;-1;0;1;DTOBenutzerAllgemein;schild.benutzer;Die Definition von Benutzern, welchen sich am Server anmelden können, aber nicht als Lehrer bzw. Personal, Schüler oder Erzieher erfasst sind
BenutzerEmail;0;-1;0;1;DTOBenutzerMail;schild.benutzer;Die Informationen zu einem E-Mail-Zugang des Benutzers, damit Emails versendet werden können.
Benutzergruppen;0;-1;0;1;DTOBenutzergruppe;schild.benutzer;Die Definition von Benutzergruppen (Rollen). Diese dienen als Vorlage für die Rechtezuweisung an Benutzer.
BenutzergruppenKompetenzen;0;-1;0;1;DTOBenutzergruppenKompetenz;schild.benutzer;Die Kompetenzen, welche der Benutzergruppe - also der Vorlage - zugeordnet wurden.
BenutzergruppenMitglieder;0;-1;0;1;DTOBenutzergruppenMitglied;schild.benutzer;Die Zuordnung von Benutzern zu Benutzergruppen
BenutzerKompetenzen;0;-1;0;1;DTOBenutzerKompetenz;schild.benutzer;Die Kompetenzen, welchem dem Benutzer insgesamt zugeordnet wurden - über eien Gruppe oder individuell
Berufskolleg_Anlagen;0;-1;0;0;DTOBerufskollegAnlagen;schild.schule;Informationen Anlagen des Berufskollegs
Berufskolleg_Berufsebenen1;0;-1;0;0;DTOBerufskollegBerufsebenen1;schild.schule;Informationen Berufsebenen der Ebene 1 des Berufskollegs
Berufskolleg_Berufsebenen2;0;-1;0;0;DTOBerufskollegBerufsebenen2;schild.schule;Informationen Berufsebenen der Ebene 2 des Berufskollegs
Berufskolleg_Berufsebenen3;0;-1;0;0;DTOBerufskollegBerufsebenen3;schild.schule;Informationen Berufsebenen der Ebene 3 des Berufskollegs
Berufskolleg_Fachklassen;0;-1;0;0;DTOBerufskollegFachklassen;schild.schule;Fachklassen des Berufskollegs
Berufskolleg_Fachklassen_Keys;0;-1;0;0;DTOBerufskollegFachklassenKeys;schild.schule;Die Schlüssel von Fachklassen des Berufskollegs - auch von mittlerweile ausgelaufenen Fachklassen
Credentials;0;-1;1;1;DTOCredentials;svws.auth;Daten für die Zugänge zu SVWS internen Systemen für SingleSignOn-Lösungen
