Name;Revision;Veraltet;NameTabelle;NameSpalte;NameTabelleReferenziert;NameSpalteReferenziert;OnUpdate;OnDelete
AllgAdrAnsprechpartner_Adr_FK;;;AllgAdrAnsprechpartner;Adresse_ID;K_AllgAdresse;ID;CASCADE;CASCADE
Benutzer_Allgemein_FK;2;;Benutzer;Allgemein_ID;BenutzerAllgemein;ID;CASCADE;CASCADE
Benutzer_Lehrer_FK;2;;Benutzer;Lehrer_ID;K_Lehrer;ID;CASCADE;CASCADE
Benutzer_Schueler_FK;2;;Benutzer;Schueler_ID;Schueler;ID;CASCADE;CASCADE
Benutzer_Erzieher_FK;2;;Benutzer;Erzieher_ID;SchuelerErzAdr;ID;CASCADE;CASCADE
BenutzerAllgemein_Credential_FK;2;;BenutzerAllgemein;CredentialID;Credentials;ID;CASCADE;SET NULL
BenutzerEmail_Benutzer_FK;2;;BenutzerEmail;Benutzer_ID;Benutzer;ID;CASCADE;CASCADE
BenutzergruppenKompetenzen_Benutzergruppen_FK;2;;BenutzergruppenKompetenzen;Gruppe_ID;Benutzergruppen;ID;CASCADE;CASCADE
BenutzergruppenKompetenzen_Kompetenzen_FK;2;;BenutzergruppenKompetenzen;Kompetenz_ID;Kompetenzen;KO_ID;CASCADE;CASCADE
BenutzergruppenMitglieder_Benutzergruppen_FK;2;;BenutzergruppenMitglieder;Gruppe_ID;Benutzergruppen;ID;CASCADE;CASCADE
BenutzergruppenMitglieder_Benutzer_FK;2;;BenutzergruppenMitglieder;Benutzer_ID;Benutzer;ID;CASCADE;CASCADE
BenutzerKompetenzen_Benutzer_FK;2;;BenutzerKompetenzen;Benutzer_ID;Benutzer;ID;CASCADE;CASCADE
BenutzerKompetenzen_Kompetenzen_FK;2;;BenutzerKompetenzen;Kompetenz_ID;Kompetenzen;KO_ID;CASCADE;CASCADE
CredentialsLernplattformen_Lernplattform_FK;;;CredentialsLernplattformen;LernplattformID;Lernplattformen;ID;CASCADE;CASCADE
DavRessourceCollection_Benutzer_FK;;;DavRessourceCollections;Benutzer_ID;Benutzer;ID;CASCADE;CASCADE
DavRessources_Collection_FK;;;DavRessources;DavRessourceCollection_ID;DavRessourceCollections;ID;CASCADE;CASCADE
EigeneSchule_Schuljahreabschnitt_FK;;;EigeneSchule;Schuljahresabschnitts_ID;Schuljahresabschnitte;ID;CASCADE;SET NULL
EigeneSchule_Abt_Kl_Abteilung_FK;;;EigeneSchule_Abt_Kl;Abteilung_ID;EigeneSchule_Abteilungen;ID;CASCADE;CASCADE
EigeneSchule_Abt_Kl_Klassen_FK;2;;EigeneSchule_Abt_Kl;Klassen_ID;Klassen;ID;CASCADE;CASCADE
EigeneSchule_Abteilungen_Leiter_FK;2;;EigeneSchule_Abteilungen;AbteilungsLeiter_ID;K_Lehrer;ID;CASCADE;SET NULL
EigeneSchule_Abteilungen_Schuljahreabschnitt_FK;2;;EigeneSchule_Abteilungen;Schuljahresabschnitts_ID;Schuljahresabschnitte;ID;CASCADE;CASCADE
EigeneSchule_FachTeilleistungen_Fach_FK;;;EigeneSchule_FachTeilleistungen;Fach_ID;EigeneSchule_Faecher;ID;CASCADE;CASCADE
EigeneSchule_Faecher_Zeugnisdatenquellen_FK;;;EigeneSchule_Faecher;Zeugnisdatenquelle_ID;Fachgruppen;SchildFgID;CASCADE;SET NULL
EigeneSchule_Jahrgaenge_GueltigVon_FK;;;EigeneSchule_Jahrgaenge;GueltigVon;Schuljahresabschnitte;ID;CASCADE;SET NULL
EigeneSchule_Jahrgaenge_GueltigBis_FK;;;EigeneSchule_Jahrgaenge;GueltigBis;Schuljahresabschnitte;ID;CASCADE;SET NULL
ErzieherDatenschutz_Erzieher_FK;;;ErzieherDatenschutz;ErzieherID;SchuelerErzAdr;ID;CASCADE;CASCADE
ErzieherDatenschutz_Datenschutz_FK;;;ErzieherDatenschutz;DatenschutzID;K_Datenschutz;ID;CASCADE;CASCADE
ErzieherLernplattform_Erzieher_FK;;;ErzieherLernplattform;ErzieherID;SchuelerErzAdr;ID;CASCADE;CASCADE
ErzieherLernplattform_Lernplattform_FK;;;ErzieherLernplattform;LernplattformID;Lernplattformen;ID;CASCADE;CASCADE
ErzieherLernplattform_Credential_FK;;;ErzieherLernplattform;CredentialID;CredentialsLernplattformen;ID;CASCADE;SET NULL
Floskeln_Floskelgruppe_Floskelgruppen_FK;2;;Floskeln;FloskelGruppe;Floskelgruppen;Kuerzel;CASCADE;SET NULL
Gost_Blockung_Abi_Jahrgang_FK;7;;Gost_Blockung;Abi_Jahrgang;Gost_Jahrgangsdaten;Abi_Jahrgang;CASCADE;CASCADE
Gost_Blockung_Kurse_Blockung_FK;7;;Gost_Blockung_Kurse;Blockung_ID;Gost_Blockung;ID;CASCADE;CASCADE
Gost_Blockung_Kurse_Fach_FK;7;;Gost_Blockung_Kurse;Fach_ID;EigeneSchule_Faecher;ID;CASCADE;CASCADE
Gost_Blockung_Kurslehrer_Kurs_FK;7;;Gost_Blockung_Kurslehrer;Blockung_Kurs_ID;Gost_Blockung_Kurse;ID;CASCADE;CASCADE
Gost_Blockung_Kurslehrer_Lehrer_FK;7;;Gost_Blockung_Kurslehrer;Lehrer_ID;K_Lehrer;ID;CASCADE;CASCADE
Gost_Blockung_Regeln_Blockung_FK;7;;Gost_Blockung_Regeln;Blockung_ID;Gost_Blockung;ID;CASCADE;CASCADE
Gost_Blockung_Regelparameter_Regel_FK;7;;Gost_Blockung_Regelparameter;Regel_ID;Gost_Blockung_Regeln;ID;CASCADE;CASCADE
Gost_Blockung_Schienen_Blockung_FK;7;;Gost_Blockung_Schienen;Blockung_ID;Gost_Blockung;ID;CASCADE;CASCADE
Gost_Blockung_Zwischenergebnisse_Blockung_FK;7;;Gost_Blockung_Zwischenergebnisse;Blockung_ID;Gost_Blockung;ID;CASCADE;CASCADE
Gost_Blockung_Zwischenergebnisse_Kurs_Schienen_ErgID_FK;7;;Gost_Blockung_Zwischenergebnisse_Kurs_Schienen;Zwischenergebnis_ID;Gost_Blockung_Zwischenergebnisse;ID;CASCADE;CASCADE
Gost_Blockung_Zwischenergebnisse_Kurs_Schienen_Kurs_FK;7;;Gost_Blockung_Zwischenergebnisse_Kurs_Schienen;Blockung_Kurs_ID;Gost_Blockung_Kurse;ID;CASCADE;CASCADE
Gost_Blockung_Zwischenergebnisse_Kurs_Schienen_Schiene_FK;7;;Gost_Blockung_Zwischenergebnisse_Kurs_Schienen;Schienen_ID;Gost_Blockung_Schienen;ID;CASCADE;CASCADE
Gost_Blockung_Zwischenergebnisse_Kurs_Schueler_ErgID_FK;7;;Gost_Blockung_Zwischenergebnisse_Kurs_Schueler;Zwischenergebnis_ID;Gost_Blockung_Zwischenergebnisse;ID;CASCADE;CASCADE
Gost_Blockung_Zwischenergebnisse_Kurs_Schueler_Kurs_FK;7;;Gost_Blockung_Zwischenergebnisse_Kurs_Schueler;Blockung_Kurs_ID;Gost_Blockung_Kurse;ID;CASCADE;CASCADE
Gost_Blockung_Zwischenergebnisse_Kurs_Schueler_Schueler_FK;7;;Gost_Blockung_Zwischenergebnisse_Kurs_Schueler;Schueler_ID;Schueler;ID;CASCADE;CASCADE
Gost_Jahrgang_Beratungslehrer_Abi_Jahrgang_FK;;;Gost_Jahrgang_Beratungslehrer;Abi_Jahrgang;Gost_Jahrgangsdaten;Abi_Jahrgang;CASCADE;CASCADE
Gost_Jahrgang_Beratungslehrer_Lehrer_ID_FK;;;Gost_Jahrgang_Beratungslehrer;Lehrer_ID;K_Lehrer;ID;CASCADE;CASCADE
Gost_Jahrgang_Faecher_Abi_Jahrgang_FK;;;Gost_Jahrgang_Faecher;Abi_Jahrgang;Gost_Jahrgangsdaten;Abi_Jahrgang;CASCADE;CASCADE
Gost_Jahrgang_Faecher_Fach_ID_FK;;;Gost_Jahrgang_Faecher;Fach_ID;EigeneSchule_Faecher;ID;CASCADE;CASCADE
Gost_Jahrgang_Fachkombinationen_Abi_Jahrgang_FK;;;Gost_Jahrgang_Fachkombinationen;Abi_Jahrgang;Gost_Jahrgangsdaten;Abi_Jahrgang;CASCADE;CASCADE
Gost_Jahrgang_Fachkombinationen_Fach1_ID_FK;;;Gost_Jahrgang_Fachkombinationen;Fach1_ID;EigeneSchule_Faecher;ID;CASCADE;CASCADE
Gost_Jahrgang_Fachkombinationen_Fach2_ID_FK;;;Gost_Jahrgang_Fachkombinationen;Fach2_ID;EigeneSchule_Faecher;ID;CASCADE;CASCADE
