Name;Revision;Veraltet;NameTabelle;NameSpalte
K_Ort_IDX1;;;K_Ort;PLZ
Schildintern_KAoA_Anschlussoption_IDX1;;;Schildintern_KAoA_Anschlussoption;AO_Kuerzel
Schildintern_KAoA_Berufsfeld_IDX1;;;Schildintern_KAoA_Berufsfeld;BF_Kuerzel
Schildintern_KAoA_Kategorie_IDX1;;;Schildintern_KAoA_Kategorie;K_Kuerzel
Schildintern_KAoA_Merkmal_IDX1;;;Schildintern_KAoA_Merkmal;M_Kuerzel
Schildintern_KAoA_SBO_Ebene4_IDX1;;;Schildintern_KAoA_SBO_Ebene4;Kuerzel_EB4
Schildintern_KAoA_Zusatzmerkmal_IDX1;;;Schildintern_KAoA_Zusatzmerkmal;ZM_Kuerzel
Schueler_AllgAdr_IDX1;;;Schueler_AllgAdr;Schueler_ID
SchuelerAbgaenge_IDX1;;;SchuelerAbgaenge;Schueler_ID
SchuelerAbgaenge_IDX1;;;SchuelerAbgaenge;LSSchulEntlassDatum
SchuelerErzAdr_IDX1;;;SchuelerErzAdr;Schueler_ID
SchuelerLeistungsdaten_IDX1;;;SchuelerLeistungsdaten;Kurs_ID
SchuelerLeistungsdaten_IDX2;;;SchuelerLeistungsdaten;Fach_ID
SchuelerLeistungsdaten_IDX3;;;SchuelerLeistungsdaten;Fachlehrer_ID
SchuelerSprachenfolge_IDX1;;;SchuelerSprachenfolge;Schueler_ID
SchuelerTelefone_IDX1;;;SchuelerTelefone;Schueler_ID
SchuelerVermerke_IDX1;;;SchuelerVermerke;Schueler_ID
SchuelerZP10_IDX1;;;SchuelerZP10;Schueler_ID
SchuelerZP10_IDX2;;;SchuelerZP10;Schuljahresabschnitts_ID
SchuelerZP10_IDX3;;;SchuelerZP10;Fach_ID
SchuelerZP10_IDX4;;;SchuelerZP10;Fachlehrer_ID
