NameTabelle;NameSpalte;hatAutoIncrement
AllgAdrAnsprechpartner;ID;1
AllgemeineMerkmaleKatalog;ID;0
AllgemeineMerkmaleKatalog_Keys;Kuerzel;0
AllgemeineMerkmaleKatalog_Schulformen;Merkmal_ID;0
AllgemeineMerkmaleKatalog_Schulformen;Schulform_Kuerzel;0
Benutzer;ID;1
BenutzerAllgemein;ID;1
BenutzerEmail;Benutzer_ID;0
Benutzergruppen;ID;1
BenutzergruppenKompetenzen;Gruppe_ID;0
BenutzergruppenKompetenzen;Kompetenz_ID;0
BenutzergruppenMitglieder;Gruppe_ID;0
BenutzergruppenMitglieder;Benutzer_ID;0
BenutzerKompetenzen;Benutzer_ID;0
BenutzerKompetenzen;Kompetenz_ID;0
Berufskolleg_Anlagen;ID;0
Berufskolleg_Berufsebenen1;ID;0
Berufskolleg_Berufsebenen2;ID;0
Berufskolleg_Berufsebenen3;ID;0
Berufskolleg_Fachklassen;ID;0
Berufskolleg_Fachklassen_Keys;FachklassenIndex;0
Berufskolleg_Fachklassen_Keys;Schluessel;0
Berufskolleg_Fachklassen_Keys;Schluessel2;0
Credentials;ID;1
CredentialsLernplattformen;ID;1
DavRessourceCollections;ID;1
DavRessources;ID;1
EigeneSchule;ID;0
EigeneSchule_Abt_Kl;ID;1
EigeneSchule_Abteilungen;ID;1
EigeneSchule_Fachklassen;ID;1
EigeneSchule_FachTeilleistungen;Fach_ID;0
EigeneSchule_FachTeilleistungen;Kursart;0
EigeneSchule_FachTeilleistungen;Teilleistung_ID;0
EigeneSchule_Faecher;ID;1
EigeneSchule_Jahrgaenge;ID;1
EigeneSchule_KAoADaten;ID;1
EigeneSchule_Kursart;ID;1
EigeneSchule_Merkmale;ID;1
EigeneSchule_Schulformen;ID;1
EigeneSchule_Teilstandorte;AdrMerkmal;0
EigeneSchule_Texte;ID;0
EigeneSchule_Zertifikate;ID;1
EinschulungsartKatalog;ID;0
EinschulungsartKatalog_Keys;Kuerzel;0
ErzieherDatenschutz;ErzieherID;0
ErzieherDatenschutz;DatenschutzID;0
ErzieherLernplattform;ErzieherID;0
ErzieherLernplattform;LernplattformID;0
Fach_Gliederungen;Fach_ID;0
Fach_Gliederungen;Fachklasse_ID;0
Fachgruppen;ID;0
FachKatalog;ID;0
FachKatalog_Keys;Kuerzel;0
FachKatalog_Schulformen;Fach_ID;0
FachKatalog_Schulformen;Schulform_Kuerzel;0
FachKatalog_Schulformen;Schulgliederung_Kuerzel;0
Floskelgruppen;Kuerzel;0
Floskeln;Kuerzel;0
Foerderschwerpunkte;ID;0
Foerderschwerpunkte_Schulformen;Foerderschwerpunkt_ID;0
Foerderschwerpunkte_Schulformen;Schulform_Kuerzel;0
Gost_Blockung;ID;1
Gost_Blockung_Kurse;ID;1
Gost_Blockung_Kurslehrer;Blockung_Kurs_ID;0
Gost_Blockung_Kurslehrer;Lehrer_ID;0
Gost_Blockung_Regeln;ID;1
Gost_Blockung_Regelparameter;Regel_ID;0
Gost_Blockung_Regelparameter;Nummer;0
Gost_Blockung_Schienen;ID;1
Gost_Blockung_Zwischenergebnisse;ID;1
Gost_Blockung_Zwischenergebnisse_Kurs_Schienen;Zwischenergebnis_ID;0
Gost_Blockung_Zwischenergebnisse_Kurs_Schienen;Blockung_Kurs_ID;0
Gost_Blockung_Zwischenergebnisse_Kurs_Schienen;Schienen_ID;0
Gost_Blockung_Zwischenergebnisse_Kurs_Schueler;Zwischenergebnis_ID;0
Gost_Blockung_Zwischenergebnisse_Kurs_Schueler;Blockung_Kurs_ID;0
Gost_Blockung_Zwischenergebnisse_Kurs_Schueler;Schueler_ID;0
Gost_Jahrgang_Beratungslehrer;Abi_Jahrgang;0
Gost_Jahrgang_Beratungslehrer;Lehrer_ID;0
Gost_Jahrgang_Faecher;Abi_Jahrgang;0
Gost_Jahrgang_Faecher;Fach_ID;0
Gost_Jahrgangsdaten;Abi_Jahrgang;0
Gost_Jahrgang_Fachkombinationen;Abi_Jahrgang;0
Gost_Jahrgang_Fachkombinationen;ID;0
Gost_Schueler;Schueler_ID;0
Gost_Schueler_Fachwahlen;Schueler_ID;0
Gost_Schueler_Fachwahlen;Fach_ID;0
Herkunft;ID;0
Herkunft_Keys;Kuerzel;0
Herkunft_Schulformen;Herkunft_ID;0
Herkunft_Schulformen;Schulform_Kuerzel;0
Herkunftsart;ID;0
Herkunftsart_Keys;Kuerzel;0
Herkunftsart_Schulformen;Herkunftsart_ID;0
Herkunftsart_Schulformen;Schulform_Kuerzel;0
ImpExp_EigeneImporte;ID;0
ImpExp_EigeneImporte_Felder;Import_ID;0
ImpExp_EigeneImporte_Felder;Field_ID;0
ImpExp_EigeneImporte_Tabellen;Import_ID;0
ImpExp_EigeneImporte_Tabellen;TableName;0
Jahrgaenge;ID;0
Jahrgaenge_Bezeichnungen;Jahrgang_ID;0
Jahrgaenge_Bezeichnungen;Schulform_Kuerzel;0
Jahrgaenge_Keys;Kuerzel;0
K_Adressart;ID;1
K_AllgAdresse;ID;1
K_Ankreuzdaten;ID;1
K_Ankreuzfloskeln;ID;1
K_BeschaeftigungsArt;ID;1
K_Datenschutz;ID;1
K_EinschulungsArt;ID;1
K_Einzelleistungen;ID;1
K_EntlassGrund;ID;1
K_ErzieherArt;ID;1
K_ErzieherFunktion;ID;1
K_FahrschuelerArt;ID;1
K_Foerderschwerpunkt;ID;1
K_Haltestelle;ID;1
K_Kindergarten;ID;1
K_Lehrer;ID;1
K_Ort;ID;1
K_Ortsteil;ID;1
K_Religion;ID;1
K_Schule;ID;1
K_Schulfunktionen;ID;1
K_Schwerpunkt;ID;1
K_Sportbefreiung;ID;1
K_TelefonArt;ID;1
K_Textdateien;ID;1
K_Vermerkart;ID;1
K_Zertifikate;Kuerzel;0
Katalog_Aufsichtsbereich;ID;1
Katalog_Pausenzeiten;ID;1
