NameTabelle;NameSpalte;Revision;Veraltet;Sortierung;Datentyp;Datenlaenge;DefaultWert;IsNotNull;JavaAttributName;JavaAttributConverter;JavaAttributConverterRevision;JavaAttributConverterVeraltet;JavaKommentar
AllgAdrAnsprechpartner;ID;;;1;bigint;;;1;;;;;ID des Ansprechpartners der Tabelle AllgAdresse (Betriebe)
AllgAdrAnsprechpartner;Adresse_ID;;;2;bigint;;;1;;;;;ID des Betriebs (der Adresse) aus der Tabelle AllgAdresse
AllgAdrAnsprechpartner;Name;;;3;varchar;120;;0;;;;;Name des Ansprechpartners im Betrieb PAuswG vom 21.6.2019 §5 Abs. 2
AllgAdrAnsprechpartner;Vorname;;;4;varchar;80;;0;;;;;Vorname des Ansprechpartners im Betrieb PAuswG vom 21.6.2019 §5 Abs. 2
AllgAdrAnsprechpartner;Anrede;;;5;varchar;10;;0;;;;;Anrede des Ansprechpartners im Betrieb
AllgAdrAnsprechpartner;Telefon;;;6;varchar;20;;0;;;;;Telefonnummer des Ansprechpartners im Betrieb
AllgAdrAnsprechpartner;Email;;;7;varchar;100;;0;;;;;Email-Adresse des Ansprechpartners im Betrieb
AllgAdrAnsprechpartner;Abteilung;;;8;varchar;50;;0;;;;;ggf Abteilung des Ansprechpartners im Betrieb
AllgAdrAnsprechpartner;SchulnrEigner;;1;9;int;;;0;;;;;Die Schulnummer zu welcher der Datensatz gehört – wird benötigt, wenn mehrere Schulen in einem Schema der Datenbank gespeichert werden
AllgAdrAnsprechpartner;Titel;;;10;varchar;15;;0;;;;;Titel des Ansprechpartners im Betrieb
AllgAdrAnsprechpartner;GU_ID;;;11;varchar;40;;0;;;;;GU_ID des Ansprechpartners im Betrieb
AllgemeineMerkmaleKatalog;ID;;;1;bigint;;;1;;;;;ID des allgemeinen Merkmals bei Schulen und/oder Schülern
AllgemeineMerkmaleKatalog;Kuerzel;;;2;varchar;10;;1;;;;;Das Kürzel des allgemeinen Merkmals bei Schulen und/oder Schülern
AllgemeineMerkmaleKatalog;Bezeichnung;;;3;varchar;255;;1;;;;;Die texttuelle Beschreibung des allgemeinen Merkmals bei Schulen und/oder Schülern
AllgemeineMerkmaleKatalog;beiSchule;;;4;int;;0;1;;Boolean01Converter;;;Gibt an, das das Merkmal bei der Schule gesetzt werden kann
AllgemeineMerkmaleKatalog;beiSchueler;;;5;int;;0;1;;Boolean01Converter;;;Gibt an, das das Merkmal bei einem Schüler gesetzt werden kann
AllgemeineMerkmaleKatalog;KuerzelASD;;;6;varchar;10;;0;;;;;ggf. ein Kürzel, welches im Rahmen der amtlichen Schulstatistik verwendet wird
AllgemeineMerkmaleKatalog;gueltigVon;;;7;int;;;0;;;;;Gibt die Gültigkeit ab welchem Schuljahr an
AllgemeineMerkmaleKatalog;gueltigBis;;;8;int;;;0;;;;;Gibt die Gültigkeit bis zu welchem Schuljahr an
AllgemeineMerkmaleKatalog_Keys;Kuerzel;;;1;varchar;10;;1;;;;;Das ASD-Kürzel des allgemeinen Merkmals bei Schulen und/oder Schülern
