ID;gueltigVon;gueltigBis;BF_Kuerzel;BF_Beschreibung
1;2020;;BAV;Bau, Architektur, Vermessung
2;2020;;D;Dienstleistung
3;2020;;EL;Elektro
4;2020;;G;Gesundheit
5;2020;;GESGE;Gesellschafts-,Geisteswissenschaften
6;2020;;ITC;IT, Computer
7;2020;;KKG;Kunst, Kultur, Gestaltung
8;2020;;LANAUM;Landwirtschaft, Natur, Umwelt
9;2020;;M;Metall, Maschinenbau
10;2020;;ME;Medien
11;2020;;N;Naturwissenschaft
12;2020;;PRFE;Produktion, Fertigung
13;2020;;SP;Soziales, Pädagogik
14;2020;;TEC;Technik, Technologiefelder
15;2020;;VL;Verkehr, Logistik
16;2020;;WIVE;Wirtschaft, Verwaltung
