"ID";"Gruppe";"KurzBez";"Bezeichnung";"Grundschule";"Tabelle";"DBFeld";"Typ";"Control";"WerteAnzeige";"WerteSQL";"LookupInfo";"OperatorenAnzeige";"OperatorenSQL";"Zusatzbedingung";"ZusatzTabellen"
1;S;Name;Schüler: Name;+;Schueler;Name;C;EDIT;;;;"gleich;ungleich;größer;größer gleich;kleiner;kleiner gleich;enthält";"=;<>;>;>=;<;<=;LIKE";;
2;S;Vorname;Schüler: Vorname;+;Schueler;Vorname;C;EDIT;;;;"gleich;enthält;beginnt mit";"=;LIKE;like";;
3;S;Geschlecht;Schüler: Geschlecht;+;Schueler;Geschlecht;N;LOOKUP;"männlich;weiblich";"3;4";;gleich;=;;
4;S;Strasse;Schüler: Strasse;+;Schueler;Strasse;C;EDIT;;;;"gleich;enthält;beginnt mit;leer";"=;LIKE;like;IS NULL";;
5;S;Postleitzahl;Schüler: Postleitzahl;+;Schueler;PLZ;C;EDIT;;;;"gleich;ungleich;größer;größer gleich;kleiner;kleiner gleich;enthält;enthält nicht;beginnt mit;leer;nicht leer";"=;<>;>;>=;<;<=;LIKE;NOT LIKE;like;IS NULL;IS NOT NULL";;
6;S;Geburtsdatum;Schüler: Geburtsdatum;+;Schueler;Geburtsdatum;D;DATEEDIT;;;;"gleich;größer;größer gleich;kleiner;kleiner gleich;leer;nicht leer";"=;>;>=;<;<=;IS NULL;IS NOT NULL";;
8;S;Geburtsort;Schüler: Geburtsort;+;Schueler;Geburtsort;C;EDIT;;;;"gleich;enthält;beginnt mit;leer;nicht leer";"=;LIKE;like;IS NULL;IS NOT NULL";;
9;S;"1. Staatsangehörigkeit";Schüler: 1. Staatsangehörigkeit;+;Schueler;StaatKrz;C;DBLOOKUP;;;"dsStaat;Bezeichnung;StatistikKrz";"gleich;ungleich;leer;nicht leer";"=;<>;IS NULL;IS NOT NULL";;
10;S;Konfession;Schüler: Konfession;+;Schueler;Religion_ID;N;DBLOOKUP;;;"dsKonfession;Bezeichnung;ID";"gleich;ungleich;leer;nicht leer";"=;<>;IS NULL;IS NOT NULL";;
11;S;Aussiedler;Schüler: Aussiedler;+;Schueler;Aussiedler;C;LOOKUP;"Ja;Nein";"+;-";;gleich;=;;
