ID;Unicodezeichen;Ersatzzeichen;DecimalZeichen;DecimalErsatzzeichen;Hexzeichen;HexErsatzzeichen
1;Ä;Ae;196;65+101;\u00C4;\u0041+\u0065
2;ä;ae;228;97+101;\u00E4;\u0061+\u0065
3;Ö;Oe;214;79+101;\u00D6;\u004F+\u0065
4;ö;oe;246;111+101;\u00F6;\u006F+\u0065
5;Ü;Ue;220;85+101;\u00DC;\u0055+\u0065
6;ü;ue;252;117+101;\u00FC;\u0075+\u0065
7;ß;ss;223;115+115;\u00DF;\u0073+\u0073
8;¡;i;161;105;\u00A1;\u0069
9;¢;c;162;99;\u00A2;\u0063
10;µ;m;181;109;\u00B5;\u006D
11;À;A;192;65;\u00C0;\u0041
12;Á;A;193;65;\u00C1;\u0041
13;Â;A;194;65;\u00C2;\u0041
14;Ã;A;195;65;\u00C3;\u0041
15;Å;Aa;197;65+97;\u00C5;\u0041+\u0061
16;Æ;Ae;198;65+101;\u00C6;\u0041+\u0065
17;Ç;C;199;67;\u00C7;\u0043
18;È;E;200;69;\u00C8;\u0045
19;É;E;201;69;\u00C9;\u0045
20;Ê;E;202;69;\u00CA;\u0045
21;Ë;E;203;69;\u00CB;\u0045
22;Ì;I;204;73;\u00CC;\u0049
23;Í;I;205;73;\u00CD;\u0049
24;Î;I;206;73;\u00CE;\u0049
25;Ï;I;207;73;\u00CF;\u0049
26;Ð;D;208;68;\u00D0;\u0044
27;Ñ;N;209;78;\u00D1;\u004E
28;Ò;O;210;79;\u00D2;\u004F
29;Ó;O;211;79;\u00D3;\u004F
30;Ô;O;212;79;\u00D4;\u004F
31;Õ;O;213;79;\u00D5;\u004F
32;Ø;Oe;216;79+101;\u00D8;\u004F+\u0065
33;Ù;U;217;85;\u00D9;\u0055
34;Ú;U;218;85;\u00DA;\u0055
35;Û;U;219;85;\u00DB;\u0055
36;Ý;Y;221;89;\u00DD;\u0059
37;Þ;Y;222;89;\u00DE;\u0059
38;à;a;224;97;\u00E0;\u0061
39;á;a;225;97;\u00E1;\u0061
40;â;a;226;97;\u00E2;\u0061
41;ã;a;227;97;\u00E3;\u0061
42;å;aa;229;97+97;\u00E5;\u0061+\u0061
43;æ;ae;230;97+101;\u00E6;\u0061+\u0065
44;ç;c;231;99;\u00E7;\u0063
45;è;e;232;101;\u00E8;\u0065
46;é;e;233;101;\u00E9;\u0065
47;ê;e;234;101;\u00EA;\u0065
48;ë;e;235;101;\u00EB;\u0065
49;ì;i;236;105;\u00EC;\u0069
50;í;i;237;105;\u00ED;\u0069
51;î;i;238;105;\u00EE;\u0069
52;ï;i;239;105;\u00EF;\u0069
53;ð;d;240;100;\u00F0;\u0064
54;ñ;n;241;110;\u00F1;\u006E
55;ò;o;242;111;\u00F2;\u006F
56;ó;o;243;111;\u00F3;\u006F
57;ô;o;244;111;\u00F4;\u006F
58;õ;o;245;111;\u00F5;\u006F
59;ø;oe;248;111+101;\u00F8;\u006F+\u0065
60;ù;u;249;117;\u00F9;\u0075
61;ú;u;250;117;\u00FA;\u0075
62;û;u;251;117;\u00FB;\u0075
63;ý;y;253;121;\u00FD;\u0079
64;þ;y;254;121;\u00FE;\u0079
65;ÿ;y;255;121;\u00FF;\u0079
66;Ā;A;256;65;\u0100;\u0041
67;ā;a;257;97;\u0101;\u0061
68;Ă;A;258;65;\u0102;\u0041
69;ă;a;259;97;\u0103;\u0061
70;Ą;A;260;65;\u0104;\u0041
71;ą;a;261;97;\u0105;\u0061
72;Ć;C;262;67;\u0106;\u0043
73;ć;c;263;99;\u0107;\u0063
74;Ĉ;C;264;67;\u0108;\u0043
75;ĉ;c;265;99;\u0109;\u0063
76;Ċ;C;266;67;\u010A;\u0043
77;ċ;c;267;99;\u010B;\u0063
78;Č;C;268;67;\u010C;\u0043
79;č;c;269;99;\u010D;\u0063
80;Ď;D;270;68;\u010E;\u0044
81;ď;d;271;100;\u010F;\u0064
82;Đ;D;272;68;\u0110;\u0044
83;đ;d;273;100;\u0111;\u0064
84;Ē;E;274;69;\u0112;\u0045
85;ē;e;275;101;\u0113;\u0065
86;Ĕ;E;276;69;\u0114;\u0045
87;ĕ;e;277;101;\u0115;\u0065
88;Ė;E;278;69;\u0116;\u0045
89;ė;e;279;101;\u0117;\u0065
90;Ę;E;280;69;\u0118;\u0045
91;ę;e;281;101;\u0119;\u0065
92;Ě;E;282;69;\u011A;\u0045
93;ě;e;283;101;\u011B;\u0065
94;Ĝ;G;284;71;\u011C;\u0047
95;ĝ;g;285;103;\u011D;\u0067
96;Ğ;G;286;71;\u011E;\u0047
97;ğ;g;287;103;\u011F;\u0067
98;Ġ;G;288;71;\u0120;\u0047
99;ġ;g;289;103;\u0121;\u0067
100;Ģ;G;290;71;\u0122;\u0047
101;ģ;g;291;103;\u0123;\u0067
102;Ĥ;H;292;72;\u0124;\u0048
103;ĥ;h;293;104;\u0125;\u0068
104;Ħ;H;294;72;\u0126;\u0048
105;ħ;h;295;104;\u0127;\u0068
106;Ĩ;I;296;73;\u0128;\u0049
107;ĩ;i;297;105;\u0129;\u0069
108;Ī;I;298;73;\u012A;\u0049
109;ī;i;299;105;\u012B;\u0069
110;Ĭ;I;300;73;\u012C;\u0049
111;ĭ;i;301;105;\u012D;\u0069
112;Į;I;302;73;\u012E;\u0049
113;į;i;303;105;\u012F;\u0069
114;İ;I;304;73;\u0130;\u0049
115;ı;i;305;105;\u0131;\u0069
116;Ĳ;Ij;306;73+106;\u0132;\u0049+\u006A
117;ĳ;ij;307;105+106;\u0133;\u0069+\u006A
118;Ĵ;j;308;106;\u0134;\u006A
119;ĵ;j;309;106;\u0135;\u006A
120;Ķ;K;310;75;\u0136;\u004B
121;ķ;k;311;107;\u0137;\u006B
122;ĸ;k;312;107;\u0138;\u006B
123;Ĺ;L;313;76;\u0139;\u004C
124;ĺ;l;314;108;\u013A;\u006C
125;Ļ;L;315;76;\u013B;\u004C
126;ļ;l;316;108;\u013C;\u006C
127;Ľ;L;317;76;\u013D;\u004C
128;ľ;l;318;108;\u013E;\u006C
129;Ŀ;L;319;76;\u013F;\u004C
130;ŀ;l;320;108;\u0140;\u006C
131;Ł;L;321;76;\u0141;\u004C
132;ł;l;322;108;\u0142;\u006C
133;Ń;N;323;78;\u0143;\u004E
134;ń;n;324;110;\u0144;\u006E
135;Ņ;N;325;78;\u0145;\u004E
136;ņ;n;326;110;\u0146;\u006E
137;Ň;N;327;78;\u0147;\u004E
138;ň;n;328;110;\u0148;\u006E
139;ŉ;n;329;110;\u0149;\u006E
140;Ŋ;N;330;78;\u014A;\u004E
141;ŋ;n;331;110;\u014B;\u006E
142;Ō;O;332;79;\u014C;\u004F
143;ō;o;333;111;\u014D;\u006F
144;Ŏ;O;334;79;\u014E;\u004F
145;ŏ;o;335;111;\u014F;\u006F
146;Ő;Oe;336;79+101;\u0150;\u004F+\u0065
147;ő;oe;337;111+101;\u0151;\u006F+\u0065
148;Œ;Oe;338;79+101;\u0152;\u004F+\u0065
149;œ;oe;339;111+101;\u0153;\u006F+\u0065
150;Ŕ;R;340;82;\u0154;\u0052
151;ŕ;r;341;114;\u0155;\u0072
152;Ŗ;R;342;82;\u0156;\u0052
153;ŗ;r;343;114;\u0157;\u0072
154;Ř;R;344;82;\u0158;\u0052
155;ř;r;345;114;\u0159;\u0072
156;Ś;S;346;83;\u015A;\u0053
157;ś;s;347;115;\u015B;\u0073
158;Ŝ;S;348;83;\u015C;\u0053
159;ŝ;s;349;115;\u015D;\u0073
160;Ş;S;350;83;\u015E;\u0053
161;ş;s;351;115;\u015F;\u0073
162;Š;S;352;83;\u0160;\u0053
163;š;s;353;115;\u0161;\u0073
164;Ţ;T;354;84;\u0162;\u0054
165;ţ;t;355;116;\u0163;\u0074
166;Ť;T;356;84;\u0164;\u0054
167;ť;t;357;116;\u0165;\u0074
168;Ŧ;T;358;84;\u0166;\u0054
169;ŧ;t;359;116;\u0167;\u0074
170;Ũ;U;360;85;\u0168;\u0055
171;ũ;u;361;117;\u0169;\u0075
172;Ū;U;362;85;\u016A;\u0055
173;ū;u;363;117;\u016B;\u0075
174;Ŭ;U;364;85;\u016C;\u0055
175;ŭ;u;365;117;\u016D;\u0075
176;Ů;U;366;85;\u016E;\u0055
177;ů;u;367;117;\u016F;\u0075
178;Ű;U;368;85;\u0170;\u0055
179;ű;u;369;117;\u0171;\u0075
180;Ų;U;370;85;\u0172;\u0055
181;ų;u;371;117;\u0173;\u0075
182;Ŵ;W;372;87;\u0174;\u0057
183;ŵ;w;373;119;\u0175;\u0077
184;Ŷ;Y;374;89;\u0176;\u0059
185;ŷ;y;375;121;\u0177;\u0079
186;Ÿ;Y;376;89;\u0178;\u0059
187;Ź;Z;377;90;\u0179;\u005A
188;ź;z;378;122;\u017A;\u007A
189;Ż;Z;379;90;\u017B;\u005A
190;ż;z;380;122;\u017C;\u007A
191;Ž;Z;381;90;\u017D;\u005A
192;ž;z;382;122;\u017E;\u007A
193;ſ;s;383;115;\u017F;\u0073
