SNR;SGL;FSP;gueltigVon;gueltigBis
100000;K02;  ;;
100010;GY9;  ;;
100011;   ;EZ;;
100011;   ;LB;;
100011;   ;SB;;
100012;   ;LB;;
100012;   ;EZ;;
100012;   ;SB;;
100014;   ;EZ;;
100014;   ;LB;;
100014;   ;SB;;
100014;   ;GH;;
100014;   ;SG;;
100014;   ;BL;;
100014;   ;SH;;
100015;G8A;  ;;
100015;GY9;  ;;
100016;   ;LB;;
100016;   ;SB;;
100016;   ;EZ;;
100016;   ;GB;;
100017;   ;LB;;
100017;   ;EZ;;
100017;   ;SB;;
100018;   ;EZ;;
100018;   ;GB;;
100018;   ;LB;;
100019;   ;EZ;;
100019;   ;LB;;
100019;   ;SB;;
100020;   ;LB;;
100020;   ;EZ;;
100020;   ;SB;;
100021;   ;EZ;;
100021;   ;LB;;
100021;   ;SB;;
100022;ST ;EZ;;
100022;ST ;LB;;
100022;ST ;SB;;
100022;ST ;  ;;
100023;   ;EZ;;
100023;   ;LB;;
100023;   ;SB;;
100024;   ;LB;;
100024;   ;SB;;
100024;   ;EZ;;
100026;   ;EZ;;
100026;   ;LB;;
100026;   ;SB;;
100026;   ;KB;;
100026;   ;GH;;
100026;   ;SG;;
100026;   ;BL;;
100026;   ;SH;;
100027;   ;EZ;;
100028;   ;LB;;
100028;   ;SB;;
100028;   ;EZ;;
100030;   ;LB;;
100032;   ;LB;;
100032;   ;EZ;;
100032;   ;SB;;
100036;   ;LB;;
100036;   ;SB;;
100036;   ;EZ;;
100036;   ;GB;;
100036;   ;KB;;
100036;   ;GH;;
100036;   ;SG;;
100036;   ;SH;;
100036;   ;BL;;
100038;   ;EZ;;
100038;   ;LB;;
100038;   ;SB;;
100040;GY9;  ;;
100041;   ;LB;;
100041;   ;SB;;
100041;   ;EZ;;
100041;   ;GB;;
100041;   ;KB;;
100041;   ;GH;;
100041;   ;SG;;
100041;   ;SH;;
100041;   ;BL;;
100042;   ;EZ;;
100042;   ;LB;;
100042;   ;SB;;
100044;   ;LB;;
100044;   ;SB;;
100044;   ;EZ;;
100045;   ;EZ;;
100045;   ;LB;;
100045;   ;SB;;
100046;ST ;LB;;
100046;ST ;SB;;
100046;ST ;EZ;;
100046;ST ;  ;;
100047;ST ;  ;;
100047;ST ;EZ;;
100047;ST ;LB;;
100047;ST ;SB;;
100048;GGS;  ;;
100048;   ;EZ;;
100048;   ;LB;;
100048;   ;SB;;
100051;SRH;  ;;
100051;   ;EZ;;
100051;   ;LB;;
100051;   ;SB;;
100052;SRH;  ;;
100052;   ;EZ;;
100052;   ;LB;;
100052;   ;SB;;
100053;ST ;EZ;;
100053;ST ;LB;;
100053;ST ;SB;;
100053;ST ;  ;;
100057;   ;KR;;
100058;G02;  ;;
100058;R02;  ;;
100061;   ;LB;;
100061;   ;EZ;;
100061;   ;SB;;
100061;   ;SG;;
100061;   ;GH;;
100062;   ;KR;;
100063;   ;EZ;;
100063;   ;LB;;
100063;   ;SB;;
100064;   ;LB;;
100064;   ;EZ;;
100064;   ;SB;;
100065;   ;EZ;;
100065;   ;LB;;
100065;   ;SB;;
100065;   ;GB;;
100065;   ;BL;;
100065;   ;SH;;
100065;   ;GH;;
100065;   ;SG;;
100065;   ;KB;;
100066;   ;EZ;;
100066;   ;SB;;
100066;   ;LB;;
100067;   ;LB;;
100067;   ;EZ;;
100067;   ;SB;;
100068;   ;LB;;
100068;   ;SB;;
100068;   ;EZ;;
100068;   ;KB;;
100068;   ;GH;;
100068;   ;SG;;
100068;   ;SH;;
100068;   ;BL;;
100069;   ;EZ;;
100069;   ;LB;;
100069;   ;SB;;
100070;   ;EZ;;
100070;   ;LB;;
100070;   ;SB;;
100071;   ;LB;;
100071;   ;SB;;
100071;   ;EZ;;
100071;   ;GB;;
100071;   ;KB;;
100071;   ;GH;;
100071;   ;SG;;
100071;   ;SH;;
100071;   ;BL;;
100074;   ;SB;;
100074;   ;LB;;
100075;   ;EZ;;
100077;   ;EZ;;
100077;   ;LB;;
100077;   ;SB;;
100079;   ;LB;;
100079;   ;EZ;;
100079;   ;SB;;
100081;   ;LB;;
100081;   ;EZ;;
100085;SSI;  ;;
100088;   ;EZ;;
100088;   ;LB;;
100088;   ;SB;;
100089;   ;EZ;;
100089;   ;LB;;
100089;   ;SB;;
100090;   ;EZ;;
100090;   ;LB;;
100090;   ;SB;;
100091;   ;EZ;;
100091;   ;LB;;
100091;   ;SB;;
100092;   ;LB;;
100092;   ;EZ;;
100092;   ;SB;;
100092;   ;KB;;
100093;   ;EZ;;
100093;   ;LB;;
100093;   ;SB;;
100094;   ;EZ;;
100094;   ;LB;;
100094;   ;SB;;
100095;   ;LB;;
100095;   ;SB;;
100096;   ;EZ;;
100096;   ;LB;;
100096;   ;SB;;
100096;   ;KB;;
100096;   ;SG;;
100096;   ;GH;;
100096;   ;SH;;
100096;   ;BL;;
100097;   ;SB;;
100097;   ;LB;;
100097;   ;EZ;;
100098;SRH;  ;;
100098;   ;EZ;;
100098;   ;LB;;
100098;   ;SB;;
100099;   ;SB;;
100099;   ;LB;;
100099;   ;EZ;;
100101;   ;LB;;
100101;   ;EZ;;
100102;   ;LB;;
100102;   ;EZ;;
100102;   ;SB;;
100103;   ;EZ;;
100103;   ;LB;;
100103;   ;SB;;
100103;GGS;  ;;
100103;GGS;EZ;;
100103;GGS;LB;;
100103;GGS;SB;;
100103;OST;  ;;
100104;SI ;  ;;
100104;SI ;EZ;;
100104;SI ;LB;;
100104;SI ;SB;;
100104;GGS;  ;;
100104;GGS;EZ;;
100104;GGS;LB;;
100104;GGS;SB;;
100106;   ;LB;;
100106;   ;SB;;
100106;   ;EZ;;
100107;SI ;  ;;
100107;SI ;EZ;;
100107;SI ;LB;;
100107;SI ;SB;;
100107;GGS;  ;;
100107;GGS;EZ;;
100107;GGS;LB;;
100107;GGS;SB;;
100108;SI ;  ;;
100108;SI ;EZ;;
100108;SI ;LB;;
100108;SI ;SB;;
100108;GGS;  ;;
100108;GGS;EZ;;
100108;GGS;LB;;
100108;GGS;SB;;
100111;SI ;  ;;
100111;SI ;EZ;;
100111;SI ;LB;;
100111;SI ;SB;;
100111;GGS;  ;;
100111;GGS;EZ;;
100111;GGS;LB;;
100111;GGS;SB;;
100112;SI ;  ;;
100112;SI ;EZ;;
100112;SI ;LB;;
100112;SI ;SB;;
100112;GGS;  ;;
100112;GGS;EZ;;
100112;GGS;LB;;
100112;GGS;SB;;
100115;   ;EZ;;
100115;   ;LB;;
100115;   ;SB;;
100118;   ;LB;;
100119;   ;EZ;;
100119;   ;LB;;
100119;   ;SB;;
100121;GY9;  ;;
100122;   ;LB;;
100122;   ;EZ;;
100122;   ;SB;;
100122;   ;BL;;
100122;   ;SH;;
100125;   ;EZ;;
100125;   ;LB;;
100125;   ;SB;;
100125;SRH;  ;;
100125;SRH;EZ;;
100125;SRH;LB;;
100125;SRH;SB;;
100126;   ;EZ;;
100126;   ;LB;;
100126;   ;SB;;
100128;   ;EZ;;
100128;   ;LB;;
100128;   ;SB;;
100129;   ;EZ;;
100129;   ;LB;;
100129;   ;SB;;
100130;SI ;  ;;
100130;SI ;EZ;;
100130;SI ;LB;;
100130;SI ;SB;;
100131;   ;EZ;;
100131;   ;LB;;
100131;   ;SB;;
100132;SRH;  ;;
100132;SRH;EZ;;
100132;SRH;LB;;
100132;SRH;SB;;
100132;   ;EZ;;
100132;   ;LB;;
100132;   ;SB;;
100136;   ;LB;;
100136;   ;EZ;;
100136;   ;SB;;
100143;   ;EZ;;
100143;   ;LB;;
100143;   ;SB;;
100144;   ;EZ;;
100144;   ;LB;;
100144;   ;SB;;
100150;   ;EZ;;
100150;   ;LB;;
100150;   ;SB;;
100151;   ;EZ;;
100151;   ;LB;;
100152;   ;EZ;;
100152;   ;LB;;
100153;   ;EZ;;
100153;   ;LB;;
100153;   ;SB;;
100154;   ;EZ;;
100154;   ;SB;;
100154;   ;LB;;
100158;   ;LB;;
100158;   ;EZ;;
100158;   ;SB;;
