SF;Art;Beschreibung;KZ_Bereich;KZ_Bereich_JG;AbgangsJG;Flag;geaendert;gueltigVon;gueltigBis
BK;0A;Ohne Abschluss;12;4;**;1;2018-05-03 13:36:08;;
BK;0A;Ohne Abschluss;13;4;**;1;2018-05-03 14:25:35;;
BK;0A;Ohne Abschluss;14;1;**;1;2016-02-29 13:54:41;;
BK;0A;Ohne Abschluss;15;1;**;1;2016-02-29 13:54:58;;
BK;0A;Ohne Abschluss;16;7;**;1;2016-02-29 13:56:17;;
BK;0A;Ohne Abschluss;17;8;**;1;2016-02-29 13:56:34;;
BK;0A;Ohne Abschluss;18;9;**;1;2016-02-29 13:56:42;;
BK;0A;Ohne Abschluss;7;9;**;1;2017-01-05 15:47:30;;
BK;0A;Ohne Abschluss;8;9;**;1;2017-01-05 15:47:59;;
BK;0A;Ohne Abschluss;9;9;**;1;2017-01-05 15:48:13;;
BK;0A;Ohne Abschluss;19;9;**;1;2016-07-04 10:29:44;;
BK;0A;Ohne Abschluss;5;1;**;1;2016-02-29 13:47:43;;
BK;0A;Ohne Abschluss;6;1;**;1;2016-02-29 13:48:01;;
BK;0A;Ohne Abschluss;1;9;**;1;2016-02-29 13:45:57;;
BK;0A;Ohne Abschluss;20;7;**;1;2016-02-29 14:01:07;;
BK;0A;Ohne Abschluss;21;7;**;1;2016-02-29 14:04:40;;
BK;0A;Ohne Abschluss;22;1;**;1;2016-02-29 14:04:47;;
BK;0A;Ohne Abschluss;23;1;**;1;2016-02-29 14:04:53;;
BK;0A;Ohne Abschluss;24;7;**;1;2016-02-29 14:05:05;;
BK;0A;Ohne Abschluss;25;1;**;1;2016-02-29 14:05:34;;
BK;0A;Ohne Abschluss;26;8;**;1;2016-02-29 14:05:44;;
BK;0A;Ohne Abschluss;27;9;**;1;2016-02-29 14:05:51;;
BK;0A;Ohne Abschluss;28;8;**;1;2016-02-29 14:06:02;;
BK;0A;Ohne Abschluss;29;1;**;1;2016-02-29 14:06:10;;
BK;0A;Ohne Abschluss;30;7;**;1;2016-02-29 14:06:16;;
BK;0A;Ohne Abschluss;31;7;**;1;2016-02-29 14:06:22;;
BK;0A;Ohne Abschluss;32;9;**;1;2016-02-29 14:06:29;;
BK;0A;Ohne Abschluss;33;1;**;1;2016-02-29 14:06:33;;
BK;0A;Ohne Abschluss;34;7;**;1;2016-02-29 14:06:38;;
BK;0A;Ohne Abschluss;35;8;**;1;2016-02-29 14:06:45;;
BK;0A;Ohne Abschluss;36;11;**;1;2016-02-29 14:07:07;;
BK;0A;Ohne Abschluss;37;8;**;1;2016-02-29 14:06:58;;
BK;0A;ohne Abschluss einschließlich Maßnahmen nach § 37 SchpflG;38;8;**;1;2020-08-13 11:08:10;;
SB;0A;Ohne Abschluss;23;1;**;1;2016-02-29 14:31:19;;
SB;0A;Ohne Abschluss;24;7;**;1;2016-02-29 14:31:20;;
SB;0A;Ohne Abschluss;25;1;**;1;2016-02-29 14:31:23;;
SB;0A;Ohne Abschluss;26;8;**;1;2016-02-29 14:31:25;;
SB;0A;Ohne Abschluss;27;9;**;1;2016-02-29 14:31:27;;
SB;0A;Ohne Abschluss;28;8;**;1;2016-02-29 14:31:29;;
SB;0A;Ohne Abschluss;29;1;**;1;2016-02-29 14:31:31;;
SB;0A;Ohne Abschluss;30;7;**;1;2016-02-29 14:31:33;;
SB;0A;Ohne Abschluss;32;9;**;1;2016-02-29 14:32:39;;
SB;0A;Ohne Abschluss;7;9;**;1;2017-01-05 15:51:02;;
SB;0A;Ohne Abschluss;9;9;**;1;2017-01-05 15:51:52;;
SB;0A;Ohne Abschluss;12;4;**;1;2018-05-03 14:23:39;;
SB;0A;Ohne Abschluss;14;1;**;1;2016-02-29 14:26:42;;
SB;0A;Ohne Abschluss;1;9;**;1;2016-02-29 14:13:39;;
SB;0A;Ohne Abschluss;15;1;**;1;2016-02-29 14:26:47;;
SB;0A;Ohne Abschluss;16;7;**;1;2016-02-29 14:27:05;;
SB;0A;Ohne Abschluss;17;8;**;1;2016-02-29 14:27:23;;
SB;0A;Ohne Abschluss;18;9;**;1;2016-02-29 14:27:53;;
SB;0A;Ohne Abschluss;19;9;**;1;2016-07-04 10:53:38;;
SB;0A;Ohne Abschluss;20;7;**;1;2016-02-29 14:28:22;;
SB;0A;Ohne Abschluss;21;7;**;1;2016-02-29 14:28:27;;
SB;0A;Ohne Abschluss;22;1;**;1;2016-02-29 14:28:40;;
SB;0A;Ohne Abschluss;5;1;**;1;2016-02-29 14:25:45;;
SB;0A;Ohne Abschluss;6;1;**;1;2016-02-29 14:25:57;;
SB;0A;ohne Abschluss einschließlich Maßnahmen nach § 37 SchpflG;38;8;**;1;2020-08-13 11:17:18;;
BK;0D;Ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss;16;2;**;1;2016-06-08 17:06:55;;
BK;0D;Ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss;17;3;**;1;2016-06-08 17:06:08;;
BK;0D;Ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss;18;4;**;1;2016-06-08 17:06:05;;
BK;0D;Ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss (für G8 Schüler);21;7;**;1;2016-02-29 15:30:38;;
BK;0D;Hauptschulabschluss nach Klasse 10;7;13;**;1;2017-01-05 15:52:17;;
BK;0D;Hauptschulabschluss nach Klasse 10;8;13;**;1;2017-01-05 15:52:21;;
BK;0D;Hauptschulabschluss nach Klasse 10;9;13;**;1;2017-01-05 15:52:36;;
BK;0D;Ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss (für G8 Schüler);15;1;**;1;2017-11-08 11:05:44;;
BK;0D;Hauptschulabschluss nach Klasse 10;12;4;**;1;2018-05-03 13:36:11;;
BK;0D;Hauptschulabschluss nach Klasse 10;13;4;**;1;2018-05-03 14:25:37;;
BK;0D;Ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss (für G8 Schüler);19;9;**;1;2016-07-04 10:29:58;;
BK;0D;Ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss (für G8 Schüler);28;8;**;1;2016-02-29 14:55:49;;
BK;0D;Ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss (für G8 Schüler);22;1;**;1;2016-02-29 15:20:02;;
BK;0D;Ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss (für G8 Schüler);27;9;**;1;2016-02-29 14:54:49;;
BK;0D;ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Schulabschluss (für G8 Schüler);38;8;**;1;2020-08-13 12:01:19;;
SB;0D;Hauptschulabschluss nach Klasse 10;12;4;**;1;2018-05-03 14:23:42;;
SB;0D;ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss;16;2;**;1;2016-06-08 17:20:12;;
SB;0D;ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss;17;3;**;1;2016-06-08 17:20:16;;
SB;0D;ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss;18;4;**;1;2016-06-08 17:20:34;;
SB;0D;Ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss (für G8 Schüler);19;9;**;1;2016-07-04 10:53:56;;
SB;0D;Ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss (für G8 Schüler);21;7;**;1;2016-02-29 15:39:02;;
SB;0D;Ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss (für G8 Schüler);22;1;**;1;2016-02-29 15:39:04;;
SB;0D;Ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss (für G8 Schüler);27;9;**;1;2016-02-29 15:39:05;;
SB;0D;Ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss (für G8 Schüler);28;8;**;1;2016-02-29 15:39:08;;
SB;0D;Hauptschulabschluss nach Klasse 10;7;13;**;1;2017-01-05 15:52:43;;
SB;0D;Hauptschulabschluss nach Klasse 10;9;13;**;1;2017-01-05 15:52:55;;
SB;0D;Ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Abschluss (für G8 Schüler);15;1;**;1;2017-07-27 16:31:46;;
SB;0D;ein dem Hauptschulabschluss nach Klasse 10 gleichwertiger Schulabschluss (für G8 Schüler);38;8;**;1;2020-08-13 11:58:51;;
BK;0F;Mittlerer Schulabschluss (Fachoberschulreife ohne Qualifikationsvermerk);13;4;**;1;2018-05-03 14:25:38;;
BK;0F;Mittlerer Schulabschluss (Fachoberschulreife ohne Berechtigung zum Besuch der gymnasialen Oberstufe);16;2;**;1;2016-06-09 12:01:42;;
BK;0F;Mittlerer Schulabschluss (Fachoberschulreife ohneBerechtigung zum Besuch der gymnasialen Oberstufe);17;3;**;1;2016-06-09 12:01:46;;
BK;0F;Mittlerer Schulabschluss (Fachoberschulreife ohne Berechtigung zum Besuch der gymnasialen Oberstufe);18;4;**;1;2016-06-09 12:03:44;;
BK;0F;Mittlerer Schulabschluss (Fachoberschulreife ohne Qualifikationsvermerk);7;13;**;1;2017-01-05 15:54:05;;
BK;0F;Mittlerer Schulabschluss (Fachoberschulreife ohne Qualifikationsvermerk);8;13;**;1;2017-01-05 15:54:10;;
BK;0F;Mittlerer Schulabschluss (Fachoberschulreife ohne Qualifikationsvermerk);9;13;**;1;2017-01-05 15:54:19;;
BK;0F;Mittlerer Schulabschluss (Fachoberschulreife ohne Qualifikationsvermerk);12;4;**;1;2018-05-03 13:36:15;;
SB;0F;Mittlerer Schulabschluss (Fachoberschulreife ohne Berechtigung zum Besuch der gymnasialen Oberstufe);16;2;**;1;2016-06-08 17:20:37;;
SB;0F;Mittlerer Schulabschluss (Fachoberschulreife ohne Qualifikationsvermerk);7;13;**;1;2017-01-05 15:54:24;;
