ID;PLZ;RegSchl;Ort;Ortsteil;Stand;gueltigVon;gueltigBis
6621;"52062";"05334002";Aachen;Aachen;"29.03.2022";;
6622;"52064";"05334002";Aachen;Aachen;"29.03.2022";;
6623;"52066";"05334002";Aachen;Aachen;"29.03.2022";;
6624;"52068";"05334002";Aachen;Aachen;"29.03.2022";;
6625;"52070";"05334002";Aachen;Aachen;"29.03.2022";;
6626;"52072";"05334002";Aachen;Aachen;"29.03.2022";;
6627;"52074";"05334002";Aachen;Aachen;"29.03.2022";;
6628;"52076";"05334002";Aachen;Aachen;"29.03.2022";;
6629;"52078";"05334002";Aachen;Aachen;"29.03.2022";;
6630;"52076";"05334002";Aachen;Brand;"29.03.2022";;
6631;"52078";"05334002";Aachen;Brand;"29.03.2022";;
6632;"52080";"05334002";Aachen;Eilendorf;"29.03.2022";;
6633;"52070";"05334002";Aachen;Haaren;"29.03.2022";;
6634;"52080";"05334002";Aachen;Haaren;"29.03.2022";;
6635;"52076";"05334002";Aachen;Hahn;"29.03.2022";;
6636;"52072";"05334002";Aachen;Horbach;"29.03.2022";;
6637;"52076";"05334002";Aachen;Kornelimünster;"29.03.2022";;
6638;"52070";"05334002";Aachen;Laurensberg;"29.03.2022";;
6639;"52072";"05334002";Aachen;Laurensberg;"29.03.2022";;
6640;"52074";"05334002";Aachen;Laurensberg;"29.03.2022";;
6641;"52076";"05334002";Aachen;Lichtenbusch;"29.03.2022";;
6642;"52076";"05334002";Aachen;Oberforstbach;"29.03.2022";;
6643;"52074";"05334002";Aachen;Orsbach;"29.03.2022";;
6644;"52072";"05334002";Aachen;Richterich;"29.03.2022";;
6645;"52076";"05334002";Aachen;Schleckheim;"29.03.2022";;
6646;"52076";"05334002";Aachen;Schmithof;"29.03.2022";;
6647;"52076";"05334002";Aachen;Sief;"29.03.2022";;
6648;"52074";"05334002";Aachen;Vaalserquartier;"29.03.2022";;
6649;"52080";"05334002";Aachen;Verlautenheide;"29.03.2022";;
6650;"52076";"05334002";Aachen;Walheim;"29.03.2022";;
6651;"52076";"05334002";Aachen;Friesenrath;"29.03.2022";;
6652;"52076";"05334002";Aachen;Nütheim;"29.03.2022";;
6653;"52076";"05334002";Aachen;Krauthausen;"29.03.2022";;
6654;"48683";"05554004";Ahaus;Ahaus;"29.03.2022";;
6655;"48683";"05554004";Ahaus;Alstätte;"29.03.2022";;
6656;"48683";"05554004";Ahaus;Graes;"29.03.2022";;
6657;"48683";"05554004";Ahaus;Ottenstein;"29.03.2022";;
6658;"48683";"05554004";Ahaus;Wessum;"29.03.2022";;
6659;"48683";"05554004";Ahaus;Wüllen;"29.03.2022";;
6660;"59227";"05570004";Ahlen;Außenbereich;"29.03.2022";;
6661;"59229";"05570004";Ahlen;Außenbereich;"29.03.2022";;
6662;"59229";"05570004";Ahlen;Dolberg;"29.03.2022";;
6663;"59227";"05570004";Ahlen;Innenstadt;"29.03.2022";;
6664;"59229";"05570004";Ahlen;Innenstadt;"29.03.2022";;
6665;"59227";"05570004";Ahlen;Tönnishäuschen;"29.03.2022";;
6666;"59227";"05570004";Ahlen;Vorhelm;"29.03.2022";;
6667;"52457";"05358004";Aldenhoven;Aldenhoven;"29.03.2022";;
6668;"52457";"05358004";Aldenhoven;Dürboslar;"29.03.2022";;
6669;"52457";"05358004";Aldenhoven;Engelsdorf;"29.03.2022";;
6670;"52457";"05358004";Aldenhoven;Freialdenhoven;"29.03.2022";;
6671;"52457";"05358004";Aldenhoven;Niedermerz;"29.03.2022";;
6672;"52457";"05358004";Aldenhoven;Schleiden;"29.03.2022";;
6673;"52457";"05358004";Aldenhoven;Siersdorf;"29.03.2022";;
6674;"53347";"05382004";Alfter;Alfter;"29.03.2022";;
6675;"53347";"05382004";Alfter;Gielsdorf;"29.03.2022";;
6676;"53347";"05382004";Alfter;Heidgen;"29.03.2022";;
6677;"53347";"05382004";Alfter;Impekoven;"29.03.2022";;
6678;"53347";"05382004";Alfter;Oedekoven;"29.03.2022";;
