Gliederung;FKS;DQR_Niveau;gueltigVon;gueltigBis
A01;10100;4;;
A01;10104;4;;
A01;10300;4;;
A01;10501;4;;
A01;10502;4;;
A01;10503;4;;
A01;10504;4;;
A01;10505;4;;
A01;10600;4;;
A01;10700;3;;
A01;10750;3;;
A01;10751;3;;
A01;10752;3;;
A01;10753;3;;
A01;10754;3;;
A01;10755;3;;
A01;10800;4;;
A01;11000;4;;
A01;11300;4;;
A01;11400;4;;
A01;11500;4;;
A01;11600;4;;
A01;11700;4;;
A01;11800;4;;
A01;12201;3;;
A01;12202;3;;
A01;12500;4;;
A01;12600;4;;
A01;12700;4;;
A01;12900;4;;
A01;13000;4;;
A01;13100;4;;
A01;13200;4;;
A01;13400;4;;
A01;13401;4;;
A01;13402;4;;
A01;13500;4;;
A01;13600;4;;
A01;13700;4;;
A01;13900;4;;
A01;14000;4;;
A01;14100;4;;
A01;14200;4;;
A01;14400;4;;
A01;14501;4;;
A01;14502;4;;
A01;14700;4;;
A01;14800;3;;
A01;15000;4;;
A01;15100;4;;
A01;15201;4;;
A01;15202;4;;
A01;15500;4;;
A01;15600;4;;
A01;15700;4;;
A01;15900;3;;
A01;16000;3;;
A01;16101;4;;
A01;16102;4;;
A01;16300;4;;
A01;16700;4;;
A01;16800;4;;
A01;16900;4;;
A01;17000;4;;
A01;17100;4;;
A01;17101;4;;
A01;17102;4;;
A01;17200;4;;
A01;17701;4;;
A01;17702;4;;
A01;17703;4;;
A01;17704;4;;
A01;17705;4;;
A01;17706;4;;
A01;17707;4;;
A01;17708;4;;
A01;17709;4;;
A01;18000;4;;
A01;18100;4;;
A01;18200;4;;
A01;18301;4;;
A01;18302;4;;
A01;18303;4;;
A01;18304;4;;
A01;18305;4;;
A01;18400;4;;
A01;18701;4;;
A01;18702;4;;
A01;18900;4;;
A01;19000;4;;
A01;19101;4;;
A01;19102;4;;
A01;19103;4;;
A01;19104;4;;
A01;19300;4;;
A01;19400;4;;
A01;19500;3;;
A01;20000;4;;
A01;20100;3;;
A01;20300;4;;
A01;20700;4;;
A01;20800;4;;
A01;20900;4;;
A01;21000;4;;
A01;21100;4;;
A01;21200;4;;
A01;21300;4;;
A01;21400;4;;
