OP_Schulformen;OP_POKrz;OP_Krz;OP_Abgangsart_B;OP_Abgangsart_NB;OP_Art;OP_Typ;OP_Bildungsgang;OP_Name;OP_Kommentar;OP_Jahrgaenge;OP_BKIndex;OP_BKAnl_Typ;OP_Reihenfolge;gueltigVon;gueltigBis
-BK-SB-;APO-BK-99/A-BG;APO-BK-99/A-BG/BG;;;A;;B;BG: berufliche Grundbildung nach APO-BK-99, Anl.A, § 15 (1);A, § 15 (1);-01-;-3-;-A06-;1;;
-BK-SB-;APO-BK-99/A-BG;APO-BK-99/A-BG/FOR;;;A;;A;FOR: Sekundarabschluss I - Fachoberschulreife - APO-BK-99, Anl. A, § 18 (2);A, § 18 (2);-01-;-3-;-A06-;1;;
-BK-SB-;APO-BK-99/A-BG;APO-BK-99/A-BG/SI;;;A;;A;HA10: gleichwertiger Abschluss zum Sekundarabschluss I - Hauptschulabschluss nach Klasse 10 - nach APO-BK-99, Anl. A, § 18 (1);A, § 18 (1);-01-;-3-;-A06-;1;;
-BK-SB-;APO-BK-99/A-FK;APO-BK-99/A-FK/BSA;3D;;A;;B;BSA (HA10): Berufsschulabschluss nach APO-BK-99, Anl. A, § 9(1)-(3) (gleichwertig dem Sekundarabschluss I - Hauptschulabschluss n. Kl. 10 -);A,§ 9(4);-02-03-04-;-1-;-A01-A02-A03-A04-A16-;1;;
-BKgesperrt-;APO-BK-99/A-FK;APO-BK-99/A-FK/FHR;3J;;A;FHR;A;FHR: Fachhochschulreife nach APO-BK-99, Anl.A, § 10;A,§ 10;-03-04-;-1-;-A02-A16-;1;;
-BK-SB-;APO-BK-99/A-FK;APO-BK-99/A-FK/FOR;3F;;A;;A;FOR: Sekundarabschluss I - Fachoberschulreife - APO-BK-99, Anl. A, § 9(5);A,§ 9(4);-02-03-04-;-1-;-A01-A02-A03-A04-A16-;1;;
-BK-SB-;APO-BK-99/A-FK;APO-BK-99/A-FK/LA;;;V;;A;Leistungsanforderungen erfüllt nach APO-BK-99, Anl.A, § 8(1);A, § 8 (1);-01-02-03-;-1-;-A01-A02-A03-A04-A16-;0;;
-BK-SB-;APO-BK-99/A-FK;APO-BK-99/A-FK/V;;;V;;A;keine Versetzung  nach APO-BK-99, Anl. A, § 8 (2);A, § 8 (2);-01-02-03-;-1-;-A01-A02-A03-A04-A16-;0;;
-BK-SB-;APO-BK-99/A-JOA;APO-BK-99/A-JOA/BK;;;A;;B;BK: berufliche Kenntnisse nach APO-BK-99, Anl.A, § 19;A, § 19;-01-02-;-4-;-A07-;1;;
-BK-SB-;APO-BK-99/A-JOA;APO-BK-99/A-JOA/BSP;;;A;;B;BSP: Erfüllung der Berufsschulpflicht nach APO-BK-99, Anl. A, VV zu § 22;A, VV § 22;-01-02-;-4-;-A07-;1;;
-BK-SB-;APO-BK-99/A-JOA;APO-BK-99/A-JOA/HSA;;;A;;A;HA: Hauptschulabschluss nach APO-BK-99, Anl.A, § 22 (4);A, § 22 (4);-02-;-4-;-A07-;1;;
-BK-SB-;APO-BK-99/A-JOA;APO-BK-99/A-JOA/V11;;;V;;A;keine Versetzung am Ende des 1. Sj nach APO-BK-99, Anl. A, § 22 (1);A, § 22 (1);-01-;-4-;-A07-;0;;
-BK-SB-;APO-BK-99/A-VBG;APO-BK-99/A-VBG/BSP;;;A;;B;BSP: Erfüllung der Berufsschulpflicht nach APO-BK-99, Anl. A,  VV § 14;A, VV § 14;-01-;-2-;-A05-;1;;
-BK-SB-;APO-BK-99/A-VBG;APO-BK-99/A-VBG/HSA;;0A;A;;A;HA: Hauptschulabschluss nach APO-BK-99, Anl.A, § 14;A, § 14;-01-;-2-;-A05-;2;;
-BK-SB-;APO-BK-99/B;APO-BK-99/B/BAB;5A;;A;;B;BAB: Berufsabschluss nach APO-BK-99, Anl.B, § 7 (4);B, § 7 (4), § 13 (2),(6);-02-;-6-;-B01-;1;;
-BK-SB-;APO-BK-99/B;APO-BK-99/B/BG;;;A;;B;BG: berufliche Grundbildung nach APO-BK-99, Anl.B, § 7(3);B, § 7 (3), § 13 (2),(5);-01-02-;-7-8-;-B02-B03-;0;;
-BK-SB-;APO-BK-99/B;APO-BK-99/B/FGO;5G;;A;;A;FORQ: Sekundarabschluss I - Fachoberschulreife - mit Berechtigung z. Besuch d. gymn. Oberstufe, APO-BK-99, Anl.B, § 7 (2);B, § 7 (2);-01-02-;-6-7-8-;-B01-B02-B03-;0;;
-BK-SB-;APO-BK-99/B;APO-BK-99/B/FOR6;;;A;;A;FOR: gleichwertiger Abschluss zum Sekundarabschluss I - Fachoberschulreife - nach APO-BK-99, Anl.B, § 6 (2);B, § 6 (2);-01-;-6-7-;-B01-B02-B03-;0;;
-BK-SB-;APO-BK-99/B;APO-BK-99/B/FOR7;5F;;A;;A;FOR: gleichwertiger Abschluss zum Sekundarabschluss I - Fachoberschulreife - nach APO-BK-99, Anl.B, § 7 (1);B, § 7 (1);-02-;-6-7-;-B01-B02-;0;;
-BK-SB-;APO-BK-99/B;APO-BK-99/B/V11;;;V;;A;Versetzung nach APO-BK-99, Anl.B, § 6(1);B, § 6 (1);-01-;-6-7-;-B01-B02-;0;;
-BK-SB-;APO-BK-99/C-BFS-BAB;APO-BK-99/C-BFS-BAB/BAB;;;A;;B;BAB: Berufsabschluss nach APO-BK-99, Anl.C, § 26 (3);C, § 26 (3);-03-;-10-11-;-C01-;1;;
-BK-SB-;APO-BK-99/C-BFS-BAB;APO-BK-99/C-BFS-BAB/FHR;;;A;;A;FHR: Fachhochschulreife nach APO-BK-99, Anl.C, § 12 (1)-(6);C, § 12 (1)-(6);-03-;-10-;-C01-;1;;
-BK-SB-;APO-BK-99/C-BFS-BAB;APO-BK-99/C-BFS-BAB/V;;;V;;A;Versetzung nach APO-BK-99 § 10;§ 10;-01-02-;-10-11-;-C01-;1;;
-BK-SB-;APO-BK-99/C-BFS-BK;APO-BK-99/C-BFS-BK/BK;;;A;;B;BK: berufliche Kenntnisse nach APO-BK-99, Anl.C, § 5 (1);C, § 5 (1);-01-;-12-;-C03-;1;;
-BK-SB-;APO-BK-99/C-BFS-BK;APO-BK-99/C-BFS-BK/EBK1;;;A;;B;EBK: erweiterte berufliche Kenntnisse nach APO-BK-99, Anl.C, § 5(2);C, § 5 (2);-02-;-12-;-C03-;1;;
-BK-SB-;APO-BK-99/C-BFS-BK;APO-BK-99/C-BFS-BK/EBK2;;;A;;B;EBK: erweiterte berufliche Kenntnisse nach APO-BK-99, Anl.C, § 13;C, § 13;-01-;-13-;-C04-;1;;
-BK-SB-;APO-BK-99/C-BFS-BK;APO-BK-99/C-BFS-BK/FHR-S;;;A;;A;FHRsT: schulischer Teil der Fachhochschulreife nach APO-BK-99, Anl.C, § 12 (8);C, § 12 (8);-02-;-12-;-C03-;1;;
-BK-SB-;APO-BK-99/C-BFS-BK;APO-BK-99/C-BFS-BK/V;;;V;;A;Versetzung nach APO-BK-99 § 10;§ 10;-01-;-12-13-;-C03-;1;;
-BK-SB-;APO-BK-99/C-FOS;APO-BK-99/C-FOS/BK;;;A;;B;BK: berufliche Kenntnisse (ohne Abschlussprüfung);;-01-02-;-14-;-C05-C06-C07-C08-;1;;
-BK-SB-;APO-BK-99/C-FOS;APO-BK-99/C-FOS/FHR;;;A;;A;FHR: Fachhochschulreife nach APO-BK-99, Anl.C, § 12 (1)-(6);C, § 12 (1)-(6);-02-;-14-;-C06-C07-;1;;
-BK-SB-;APO-BK-99/C-FOS;APO-BK-99/C-FOS/V;;;V;;A;Versetzung nach APO-BK-99 § 10;§ 10;-01-;-14-;-C05-;1;;
-BK-SB-;APO-BK-99/C-FOS;APO-BK-99/C-FOS/V12B;;;V;;A;keine Versetzung bei FOS 12B TZ nach APO-BK-99, Anl. C § 2(3) Satz 3;§ 2 (3);-01-;-14-;-C07-;0;;
-BK-SB-;APO-BK-99/C-FOS;APO-BK-99/C-FOS/VP;;;V;;A;Versetzung nach APO-BK-99, Anl.C, VV 2.22 (Ableistung des Praktikantenjahres);C, VV 2.22;-01-;-14-;-C05-;1;;
-BK-SB-;APO-BK-99/D-BAB;APO-BK-99/D-BAB/AHR;;;A;;A;AHR: allgemeine Hochschulreife nach APO-BK-99, Anl.D, § 25;D, § 25;-03-;-16-17-;-D01-D02-;1;;
-BK-SB-;APO-BK-99/D-BAB;APO-BK-99/D-BAB/BAB;;;A;;B;BAB: Berufsabschluss nach APO-BK-99, Anl.D, § 39 (3);D, §39;-04-;-16-;-D01-;1;;
-BK-SB-;APO-BK-99/D-BAB;APO-BK-99/D-BAB/BAB1;;;A;;B;1. Teilprüfung der Berufsabschlussprüfung nach APO-BK-99, Anl.D, § 33;D, § 30-34;-03-;-16-;-D01-;1;;
-BK-SB-;APO-BK-99/D-BAB;APO-BK-99/D-BAB/BAB2;;;A;;B;2. Teilprüfung der Berufsabschlussprüfung (nicht Erz.) nach APO-BK-99, Anl.D, § 35-38;D, § 35-38;-04-;-16-;-D01-;1;;
-BK-SB-;APO-BK-99/D-BAB;APO-BK-99/D-BAB/BAB-FP;;;A;;B;fachpraktische Prüfung der Berufsabschlussprüfung für Erz. nach APO-BK-99, Anl.D, § 43;D, § 28-40;-04-;-16-;-D01-;1;;
-BK-SB-;APO-BK-99/D-BAB;APO-BK-99/D-BAB/BK;;;A;;B;BK: berufliche Kenntnisse (ohne Abschlussprüfung);;-03-;-17-;-D02-;1;;
