SchulNr;RegSchl;KoRe;KoHo;ABez1;ABez2;ABez3;PLZ;Ort;Strasse;TelVorw;Telefon;FaxVorw;Fax;ModemVorw;Modem;SF;OeffPri;KurzBez;SchBetrSchl;SchBetrSchlDatum;ArtDerTraegerschaft;SchultraegerNr;Schulgliederung;Schulart;Ganztagsbetrieb;FSP;Verbund;Bus;Fachberater;FachberHauptamtl;TelNrDBSalt;RP;Email;URL;CD;Stift;OGTS;SELB;Internat;InternatPlaetze;SMail;SportImAbi;Tal;KonKop;gueltigVon;gueltigBis
100000;911000;378180;5701853;Studienkolleg des Ökumenischen;Studienwerks e.V. für ausländische;Studierende;44799;Bochum;Girondelle 80;0234;9388231;0234;9388260;null;null;25;2;Bochum, WBK KOL Studienkolleg;6;19740101;44;10100;K02;K;0;null;0;0;null;null;null; ;100000@schule.nrw.de;https://www.studienkolleg-bochum.de;1;0;0;0;0;0;null;0;0;0;;
100010;315000;352258;5645500;Gymnasium Claudia Agrippina Privat;schule als priv.Ersatzsch. d. Sek.I u.II;d. CAPS Privatschu gGmbH;50933;Köln;Stolberger Str. 112;0221;37996433;0221;37990671;null;null;20;2;Köln, Gym Gymnasium Claudia Agrippina;1;20160801;35;83150;null;null;1;null;0;0;null;null;null; ;100010@schule.nrw.de;http://www.claudia-agrippina-privatschule.de;1;0;0;0;0;0;null;0;0;0;;
100011;158008;361466;5673192;Städt. Gesamtschule;Schule d. Sekundarstufe I u. II;null;42781;Haan;Walder Str. 15;02129;3754950;02129;37545999;null;null;15;1;Haan, GE Walder Straße;1;20170801;06;11435;null;null;1;null;0;0;null;null;null; ;100011@schule.nrw.de;http://www.gesamtschule-haan.de;1;0;0;0;0;0;null;0;0;0;;
100012;316000;356570;5658484;Städt. Gemeinschaftsgrundschule;Am Friedenspark;- Primarstufe -;51371;Leverkusen;Netzestr. 12;0214;310830;0214;3108320;null;null;02;1;Leverkusen, GG Am Friedenspark;1;20170801;03;10080;null;GMS;0;null;0;0;null;null;null; ;100012@schule.nrw.de;http://www.ggs-am-friedenspark.com;1;0;1;0;0;0;null;0;0;0;;
100014;916000;376821;5710073;Kolibri-Schule;Städt. Gemeinschaftsgrundschule;null;44625;Herne;Jean-Vogel-Str. 36;02323;163970;02323;163981;null;null;02;1;Herne, GG Kolibri-Schule;1;20170801;03;10327;null;GMS;0;null;0;0;null;null;null; ;100014@schule.nrw.de;https://www.kolibri-schule-herne.de/;1;0;1;0;0;0;null;0;0;0;;
100015;111000;346741;5675559;Städt. Wim-Wenders-Gymnasium;Sekundarstufe I und II;null;40227;Düsseldorf;Schmiedestr. 25;0211;8924260;0211;8929604;null;null;20;1;Düsseldorf, Gym Wim-Wenders;1;20170801;03;10042;null;null;1;null;0;0;null;null;null; ;100015@schule.nrw.de;https://ww-gym.de;1;0;0;0;0;0;null;0;0;0;;
100016;334032;304543;5629274;Kupferstädter Gesamtschule;- Sekundarstufe I und II -;null;52222;Stolberg (Rhld.);Breslauer Str. 1;02402;9975610;02402;9975631;null;null;15;1;Stolberg, GE Kupferstädter;1;20170801;06;13420;null;null;1;null;0;0;null;null;null; ;100016@schule.nrw.de;http://kupferstädter-gesamtschule.de;1;0;0;0;0;0;null;0;0;0;;
100017;362028;351089;5638619;Städt. Gem. Grundschule;im Zentrum von Hürth;- Primarstufe -;50354;Hürth;Bonnstr. 109;02233;974420;02233;9744215;null;null;02;1;Hürth, GG Bonnstraße;1;20170801;06;12841;null;GMS;0;null;0;0;null;null;null; ;100017@schule.nrw.de;https://www.grundschule-zentrum-huerth.de/;1;0;1;0;0;0;null;0;0;0;;
100018;113000;362960;5697806;Freie Waldorfschule Rudolf Steiner Schu-;le u. Parzivalsch. m. Heliandzw.,Förder-;schule,Staatl. genehm.priv. Ersatzschule;45134;Essen;Schellstr. 47;0201;435150;0201;4351510;null;null;17;2;Essen, FW Schellstraße;1;19730801;60;70610;null;AS;1;null;1;0;null;null;null; ;100018@schule.nrw.de;http://www.waldorfschule-essen.de;1;0;1;0;0;0;null;0;0;0;;
100019;154036;301546;5740499;Joseph Beuys Gesamtschule;der Stadt Kleve;- Sekundarstufen I und II -;47533;Kleve;Ackerstr. 80;02821;75040;02821;750444;null;null;15;1;Kleve, GE Joseph Beuys;1;20170801;06;12087;null;null;1;null;0;0;null;null;null; ;100019@schule.nrw.de;http://jbg.kleve.de/;1;0;0;0;0;0;null;0;0;0;;
