SchulNr;RegSchl;KoRe;KoHo;ABez1;ABez2;ABez3;PLZ;Ort;Strasse;TelVorw;Telefon;SF;OeffPri;KurzBez;SchBetrSchl;SchBetrSchlDatum;ArtDerTraegerschaft;SchultraegerNr;Schulgliederung;Ganztagsbetrieb;Aktiv;gueltigVon;gueltigBis
10001;562012;363089;5731819;Montessori Grundschule Dorsten gGmbH;;;46286;Dorsten;Kleiner Ring 2;02369;2059909;00;2;Dorsten, Mont. Grundschule Dorsten gGmbH;1;20190801;35;0;;0;1;;
10002;762004;499949;5724780;Trägerverein Grundschule;St. Walburga Neuenheerse;;33014;Bad Driburg;Taildor 8;;;00;2;Bad Driburg, Trägerverein St. Walburga;1;20190801;42;0;;0;1;;
10003;999999;999999;9999999;Deutsche Angestellten-Akademie;Wirtschaftsschule GmbH;;22081;Hamburg;Teichweg 19;;;00;2;Hamburg, DAA Wirtschaftschule GmbH;1;20190701;35;0;;0;1;;
10004;315000;360559;5646621;LOGOS Verein für russische Kultur;& Bildung e.V.;;51065;Köln;Arnsberger Str. 11;0221;16908487;00;2;Köln, LOGOS e.V.;1;20190801;32;0;;0;1;;
10005;774032;485837;5730602;Bildungswerkstatt;Realschule Altenbeken gGmbH;;33100;Paderborn;Vattmannstr. 5-5A;;;00;2;Paderborn, Bildungs. Altenbeken gGmbH;1;20190801;35;0;;0;1;;
10006;915000;413616;5724120;Bekenntnisorientierte christliche;Schulen Hamm e.V.;;59077;Hamm;Zechenweg 8;;;00;2;Hamm,Bekenntnis.christl.Schulen Hamm e.V;1;20190801;44;0;;0;1;;
10007;974028;453646;5729260;Gemeinnützige Gesellschaft;Zukunftsschulen Lippstadt mbH;;59556;Lippstadt;Im Eichholz 10;;;00;2;Lippstadt, Gemeinn.Gesellsch.Zukunftssch;1;20190801;35;0;;0;1;;
10008;154044;314985;5742193;Verein Freie Waldorfschule Niederrhein-;Aue e.V.;;46459;Rees;Grietherort 13;;;00;2;Rees, Niederrhein-Aue e.V.;1;20190828;32;0;;0;1;;
10009;562012;363046;5731846;Montessori Reform Dorsten gGmbH;;;46286;Dorsten;Dülmener Str. 40;02369;2087058;00;2;Dorsten, Montessori Reform Dorsten gGmbH;1;20200101;35;0;;0;1;;
10017;111000;343261;5675464;Land Nordrhein-Westfalen;Ministerium für Schule und Bildung;;40221;Düsseldorf;Völklinger Str. 49;0211;5867-40;00;1;Land Nordrhein-Westfalen;1;19730801;02;0;;0;1;;
10029;315000;357312;5645025;Landschaftsverband Rheinland;;;50679;Köln;Kennedyufer 2;0221;809-2534;00;1;Köln, Landschaftsverband Rheinland;1;19730801;09;0;;0;1;;
10030;515000;406275;5757718;Landschaftsverband Westfalen-Lippe;;;48147;Münster;Freiherr-vom-Stein-Platz 1;0251;59101;00;1;Münster, Landschaftsverband Westf.-Lippe;1;19730801;09;0;;0;1;;
10042;111000;344426;5677269;Stadt Düsseldorf;;;40213;Düsseldorf;Marktplatz 6;0211;8991;00;1;Stadt Düsseldorf;1;19730801;03;0;;0;1;;
10054;112000;344388;5700622;Stadt Duisburg;;;47051;Duisburg;Burgplatz 19;0203;283-2934;00;1;Stadt Duisburg;1;19730801;03;0;;0;1;;
10066;113000;362194;5702044;Stadt Essen;- Schulverwaltungsamt -;;45127;Essen;Hollestr. 3;0201;8840950;00;1;Stadt Essen;1;19730801;03;0;;0;1;;
10078;114000;329968;5689803;Stadt Krefeld;;;47798;Krefeld;Von-der-Leyen-Platz 1;02151;86/1;00;1;Stadt Krefeld;1;19730801;03;0;;0;1;;
10080;316000;359692;5660001;Stadt Leverkusen;;;51379;Leverkusen;Haus-Vorster-Str. 8;0214;406-0;00;1;Stadt Leverkusen;1;19730801;03;0;;0;1;;
