SNR;SF;ABez1;Strasse;Ort;Auswahl;RegSchl;geaendert;gueltigVon;gueltigBis
999000;**;Schule aus dem sonstigen Ausland;****************************************;****************************************;0;999000;2004-07-09 10:38:04;;
980001;**;Schule aus Schleswig-Holstein;****************************************;****************************************;0;980001;2004-04-27 15:56:08;;
980002;**;Schule aus Hamburg;****************************************;****************************************;0;980002;2004-04-27 15:56:14;;
980003;**;Schule aus Niedersachsen;****************************************;****************************************;0;980003;2004-04-27 15:56:20;;
980004;**;Schule aus Bremen;****************************************;****************************************;0;980004;2004-04-27 15:56:23;;
980006;**;Schule aus Hessen;****************************************;****************************************;0;980006;2004-04-27 15:56:26;;
980007;**;Schule aus Rheinlandpfalz;****************************************;****************************************;0;980007;2004-04-27 15:56:29;;
980008;**;Schule aus Baden-Württemberg;****************************************;****************************************;0;980008;2004-04-27 15:56:33;;
980009;**;Schule aus Bayern;****************************************;****************************************;0;980009;2004-04-27 15:56:36;;
980010;**;Schule aus dem Saarland;****************************************;****************************************;0;980010;2004-04-27 15:56:40;;
980011;**;Schule aus Berlin;****************************************;****************************************;0;980011;2004-04-27 15:56:44;;
980012;**;Schule aus Brandenburg;****************************************;****************************************;0;980012;2004-04-27 15:56:48;;
980013;**;Schule aus Mecklenburg-Vorpommern;****************************************;****************************************;0;980013;2004-04-27 15:56:51;;
980014;**;Schule aus Sachsen;****************************************;****************************************;0;980014;2004-04-27 15:56:55;;
980015;**;Schule aus Sachsen-Anhalt;****************************************;****************************************;0;980015;2004-04-27 15:56:58;;
980016;**;Schule aus Thüringen;****************************************;****************************************;0;980016;2004-04-27 15:57:03;;
991000;**;Schule aus Belgien;****************************************;****************************************;0;991000;2004-07-09 08:06:23;;
992000;**;Schule aus Luxemburg;****************************************;****************************************;0;992000;2004-07-09 08:08:35;;
993000;**;Schule aus den Niederlanden;****************************************;****************************************;0;993000;2004-07-09 08:09:26;;
980500;**;Sonstige/keine Schule;****************************************;****************************************;0;******;2004-12-30 10:06:20;;
999500;UN;Herkunft noch unbekannt (nur A12, A13);****************************************;****************************************;0;999500;2011-07-19 14:33:31;;
