SF;RPG;Beschreibung;geaendert;gueltigVon;gueltigBis
G;*;ohne Eintrag;;;
G;C;Celestin Freinet;;;
G;M;Montessori;;;
G;P;Peter Petersen/Jena-Plan;;;
G;J;Janusz Korczak (Pädagogik der Achtung);;;
G;S;sonstige;;;
H;*;ohne Eintrag;;;
H;M;Montessori;;;
H;J;Janusz Korczak (Pädagogik der Achtung);;;
H;S;sonstige;;;
V;*;ohne Eintrag;;;
V;M;Montessori;;;
V;J;Janusz Korczak (Pädagogik der Achtung);;;
V;S;sonstige;;;
R;*;ohne Eintrag;;;
R;M;Montessori;;;
R;J;Janusz Korczak (Pädagogik der Achtung);;;
R;S;sonstige;;;
GE;*;ohne Eintrag;;;
GE;M;Montessori;;;
GE;J;Janusz Korczak (Pädagogik der Achtung);;;
GE;S;sonstige;;;
GY;*;ohne Eintrag;;;
GY;M;Montessori;;;
GY;J;Janusz Korczak (Pädagogik der Achtung);;;
GY;S;sonstige;;;
GY;C;Celestin Freinet;;;
GY;P;Peter Petersen/Jena-Plan;;;
S;*;ohne Eintrag;;;
S;J;Janusz Korczak (Pädagogik der Achtung);;;
S;M;Montessori;;;
S;P;Peter Petersen/Jena-Plan;;;
S;S;sonstige;;;
SR;*;ohne Eintrag;;;
SR;J;Janusz Korczak (Pädagogik der Achtung);;;
SR;M;Montessori;;;
SR;P;Peter Petersen/Jena-Plan;;;
SR;S;sonstige;;;
SG;*;ohne Eintrag;;;
SG;J;Janusz Korczak (Pädagogik der Achtung);;;
SG;M;Montessori;;;
SG;P;Peter Petersen/Jena-Plan;;;
SG;S;sonstige;;;
